First Name,Notes,Address
LE FAY LAKE,"1200 ft W of Nimue Lake, drains to N Fk Dingford Creek","47.54472, -121.40361"
LEMAH MOUNTAIN,"On King-Kittitas County line, ESE of Avalanche Lake","47.49111, -121.30111"
LENNOX CREEK TRAILHEAD,N Fk road to FS Rd 57 to trailhead,"47.58833, -121.50417"
LENNOX LAKE,"Drains to Lennox Creek, 2 mi SE of Bare Mountain","47.63250, -121.47861"
LENOX MOUNTAIN,W of Coney Lake,"47.66722, -121.47222"
LES GROVE MUSEUM PARK,9th St SE & H St SE   Auburn,"47.29917, -122.21361"
LESTER,"On watershed property, enter from Headworks or Stampede Pass","47.20917, -121.48917"
LEVDANSKY PARK,276th Av SE & SE 224th St   King County,"47.40000, -121.97111"
LEWIS LAKE,"Fed by Webster Lake, drains to Cedar River","47.43333, -122.03194"
LIBERTY PARK,Bronson Wy N & Houser Wy N   Renton,"47.48250, -122.19861"
LIPSY LAKE,Below Otter Falls in trib to Taylor River below Big Creek,"47.58694, -121.46556"
LITTLE AMES LAKE,"2100 ft NW of Ames Lake, drains to Ames Lake","47.64333, -121.96889"
LITTLE CALLIGAN LAKE,"Drains to Calligan Creek, 1 mi SE of Calligan Lake","47.58250, -121.63861"
LITTLE CHETWOOT LAKE,In outlet 300 ft N of Chetwoot Lake,"47.56000, -121.30639"
LITTLE COUGAR LAKE,"Drains to N Fk Cougar Creek, 4900 ft NW of Big Cougar Lake","47.61583, -121.53611"
LITTLE DERRICK LAKE,500 ft below Derrick Lake in Cripple Creek,"47.50278, -121.49139"
LITTLE EAGLE LAKE,"Drains to NF Green River, 3900 ft NW of Eagle Lake","47.30639, -121.75000"
LITTLE GINDER LAKE,"In marshy area, narrow lake 600 ft long, drains via Newmine Creek","47.33250, -121.99028"
LITTLE HEART LAKE,Trailhead is at end of FS 68 (Foss River Rd),"47.63694, -121.30111"
LITTLE HEART LAKE,Drains 2200 ft N to Copper Lake,"47.59111, -121.32889"
LITTLE HESTER LAKE,"Drains to Hester Lake, 700 ft to the E.","47.50861, -121.40167"
LITTLE KULLA LAKE,"400 ft S of Lake Kulla Kulla Lake, drains to Kulla Kulla Lk","47.42806, -121.54694"
LITTLE LAKE,"Has small island, private lake, drains to White River ","47.21222, -121.94000"
LITTLE MASON LAKE,"Drains to Mason Creek, 5 mi SE of Mt Defiance","47.42806, -121.55639"
LITTLE MYRTLE LAKE,"Drains 2800 ft S to Myrtle Lake, head of N Fk Dingford Creek","47.55917, -121.37583"
LITTLE MYRTLE LAKE TRAIL,FS Rd 56 (Mid Fk) to FS 5620 to trailhead,"47.51722, -121.45278"
LITTLE PRATT LAKE,"2400 ft E of Pratt Lake, Drains to headwaters Pratt River ","47.43167, -121.50000"
LITTLE RATTLESNAKE LAKE,"Drains to S Fk Snoqualmie River, private lake","47.44333, -121.75417"
LITTLE RETREAT LAKE,"1000 ft SW fr Retreat Lake, drains to Green River","47.34833, -121.94861"
LITTLE SI MOUNTAIN,"E of North Bend, trailhead is on Mt Si road, left after bridge","47.49833, -121.75417"
LITTLERS LAKE,Drains to Sunday Creek on W side of Stampede Pass,"47.28111, -121.35028"
LIZARD LAKE,Drains to Sunday Creek on W side of Stampede Pass,"47.28111, -121.35028"
LIZARD LAKES,3 lakes (on map as one) drains E to Clay Creek & White River,"47.18333, -121.80528"
LOCH KATRINE,"Drains to Sunday Creek, 3 mi NE of Calligan Lake","47.63528, -121.60444"
LOCH KATRINE UPPER ,Drains to Loch Katrine 4500 ft to the N.,"47.62167, -121.60028"
LOCKET LAKE,Drains to Jewel Lake & E Fk Foss River,"47.58528, -121.26694"
LODGE LAKE,"Head of Lodge Creek, 1.2 mi SW of Snoqualmie Pass","47.41000, -121.42944"
LODGE LAKE POND,"700 ft SW of Lodge Lake, 1.5 mi S of Snoqualmie pass","47.40639, -121.43028"
LONG LAKE,"800 ft N of Island Lake, drains to Blazer Lake & Pratt river","47.42444, -121.53611"
LOOKOUT MOUNTAIN,3 mi SW of Rattlesnake Lake,"47.41444, -121.83972"
LOOP LAKE,"Drains to Tolt River, 2.7 mi E of Carnation","47.65417, -121.85028"
LOST LAKE,"Drains to Yellow Creek, trib to NF Tolt River","47.76278, -121.74556"
LOW MOUNTAIN,East of Tuschohatchie Lake,"47.43389, -121.46667"
LOWER BURNTBOOT LAKE,"In Burntboot Creek, 2,600 ft below Iceburg Lake","47.49556, -121.31611"
LOWER CEDAR LAKE,6 mi S of North Bend & 1 1/2 mi W from Chester Morse dam,"47.41278, -121.75000"
LOWER TALBOT HILL PARK,Valley Freeway & S 19th St   Renton,"47.45917, -122.21361"
LOWER WILDCAT LAKE TRAILHEAD,Trailhead is on Trail 1013 by Snow Lake,"47.46806, -121.44861"
LUCERNE LAKE,"Fed by Pipe Lake, drains to Green River","47.36861, -122.05111"
LUNDIN PEAK,1.7 mi SSE of Goldmyer Hot Springs,"47.46361, -121.39944"
LUNDIN PEAK TRAIL,Trail starts at Snoqualmie Pass,"47.43750, -121.39722"
LUNKER LAKE,"800 ft SE of Rock Lake, Drains to Rock Lake","47.54333, -121.43583"
LUTHER BURBANK PARK,84th Av SE & N Mercer Wy   Mercer Island,"47.59111, -122.22417"
LYNCH LAKE,"Drains to SF Tolt River, 2 mi NW of Tolt Resevoir","47.70917, -121.72417"
LYNN LAKE,"Headwaters Charley Creek, 3000 ft NE of Grass Mountain L.O.","47.20778, -121.78194"
MACDONALD MEMORIAL PARK,NE 40th St & Tolt Av   King County,"47.65000, -121.92500"
MAE LAKE,"Drains to Pratt River, 1 mi SW of Kaleetan Peak","47.44889, -121.48583"
MALACHITE LAKE,"Drains E to WF Foss River, 1200 ft NW of Copper Lake","47.60861, -121.33972"
MALACHITE LAKE TRAILHEAD,Trailhead is at end of FS 68 (Foss River Rd),"47.63694, -121.30111"
MALACHITE LAKE TRAILHEAD,Trail 1065 starts from trail 1064,"47.63972, -121.33972"
MALACHITE PEAK,"4700 ft N of Lake Malachite, & NW of Trout Lake","47.62444, -121.33972"
MALONEY LAKES #1,"Drains to Maloney Creek, 1000 ft NE of Lake 2","47.67167, -121.33472"
MALONEY LAKES #2,"Drains to Maloney Creek, 4000 ft SW of Sobieski Mountain","47.67028, -121.33750"
MALONEY LAKES #3,"Head of Maloney Creek, 1200 ft SW of Lake 2","47.66583, -121.34056"
MALONEY MEADOWS LAKE,"In headwaters Maloney Creek, drains to S Fk Skykomish River","47.66667, -121.33333"
MALONEY RIDGE LOOKOUT,NW of Sobieski Mountain and SE of Skykomish,"47.69472, -121.33750"
MAPLE VALLEY FIRE STATION,"KCP Pct 3 is across the street,  E of Hwy 18 at SE 232 St","47.39833, -122.04250"
MAPLE VALLEY HEIGHTS PARK,188th Av SE & SE 164th St    King County,"47.45500, -122.08972"
MAPLEWOOD HEIGHTS PARK,168th Av SE & SE 142nd St   King County,"47.47667, -122.11944"
MAPLEWOOD PARK,144th Av SE & SE 138th St   King County,"47.47944, -122.14528"
MAPLEWOOD ROADSIDE PARK,Maple Valley Rd & SE 7th St   Renton,"47.47528, -122.17500"
MARCELL LAKE,"4000 ft N of Stillwater, drains to Harris Creek","47.69333, -121.91444"
MARCUS LAKE,"1 1/4 mi NE fm Ravensdale in marshy area, N side of power lines","47.36583, -121.96361"
MARGE LAKE,"3000 ft W of Nordrum Lake, drains to Taylor River","47.55500, -121.45083"
MARIE LAKE,"Boggy shoreline, drains to Snoqualmie River","47.57667, -121.84167"
MARINA PARK,25 Lake Av W    Kirkland,"47.67583, -122.20722"
MARJORIE LAKE,"1700 ft S of Lake Sawyer, drains via Covington Creek","47.31806, -122.03417"
MARK TWAIN PARK,10625 132nd Av NE & NE 106 Pl   Kirkland,"47.69472, -122.16861"
MARLENE LAKE,Drains 6000 ft N to Lake Dorothy,"47.56083, -121.36750"
MARLOW LAKE,"1 1/4 mi S from Covington on N side SH 5B, drains to Jenkins Creek","47.32806, -122.11306"
MARSH LAKE,"In Griffin Creek, 4000 ft S of Frazier Marsh","47.61583, -121.84167"
MARSH PARK,6605 Lake Washington Blvd NE   Kirkland,"47.66583, -122.20500"
MARTEN LAKE,"Head of Martin Creek, trib to Taylor river","47.59417, -121.51278"
MARTIN MOUNTAIN,"NE of Mosquito Lake, E of Captain Point","47.76722, -121.13444"
MARYMOOR PARK (EAST ENTRANCE),East entrance from NE 65 & E Lk Samm. Pkwy,"47.66722, -122.09806"
MARYMOOR PARK (WEST ENTRANCE),West entrance from W. Lake Sammamish Pkwy,"47.66139, -122.12389"
MASKRODS SLOUGH,"2 ponds across from Mount Si High School, drains E Fk Kimball Creek","47.52028, -121.81389"
MASON LAKE,"Head of Mason Creek, 1 mi SE of Mt Defiance","47.42306, -121.55111"
MASON LAKE TRAILHEAD,"Exit 45, I-90. Trailhead is on N side of I-90 turn west go about 3 mi","47.42472, -121.58167"
MASON LAKE TRAILHEAD,"Exit 47, Cross freeway, turn rt, T/H is across from Asahel Curtis Picnic","47.39806, -121.48500"
MASON LAKE TRAILHEAD,"Exit 47, Cross freeway, turn lft, T/H is on FS Road 9034","47.39611, -121.47278"
MASONRY POOL,6 mi S of North Bend & 1 1/2 mi W from Chester Morse dam,"47.41278, -121.75000"
MASSEY GATE,On Cumberland-Kanaskat Rd south of Kanaskat turn E on Kuzak Rd to Rd 3703,"47.27806, -121.89361"
MATCHETT PARK,402 Warde St  Algona,"47.27750, -122.24778"
MAUD LAKE,"Drains to Ten Creek, trib to Tokul Creek","47.60278, -121.72639"
MAY CREEK PARK,Edmonds Av NE & NE 27th St   Renton,"47.51722, -122.18361"
MCCLAIN PEAKS,SE of Tolt Resevoir,"47.68889, -121.56389"
MCCLELLAN BUTTE,"S of Exit 38, I-90","47.40722, -121.62167"
MCCLELLAN BUTTE TRAIL,"FS Rd 9020, 2.8 mi to intersection with trail","47.40861, -121.60167"
MCCLELLAN BUTTE TRAILHEAD,"Exit 42,(Tinkham Rd) I-90, trailhead is just south of exit.","47.41056, -121.58667"
MCDONALD LAKE,"1/2 mi SE from Kathleen Lake, drains to Issaquah Creek & Lake Samm.","47.47083, -122.07583"
MCDONALD MOUNTAIN,"NE of Kanaskat, E of Durham","47.33694, -121.85778"
MCFARLAND PARK,Chinook Av & A St   Enumclaw,"47.21222, -121.98500"
MCLEOD LAKE,"SSE of Spur Gate 10, drains to Tate Creek","47.55778, -121.72861"
MEADOW LAKE,Drains via marshy area to May Creek & Lake Washington,"47.47806, -122.08750"
MEADOW LAKE,Drains NE to Twentyeight Creek & Greenwater River,"47.08472, -121.53944"
MEADOW PARK,161st Av NE & NE 108th Ct   Redmond,"47.69556, -122.12389"
MEADOWBROOK SLOUGH,"3 segments, 1 mi E of Snoqualmie, drains to Snoqualmie R.","47.52167, -121.80111"
MEADOWS LAKE,"In headwaters Maloney Creek, drains to S Fk Skykomish River","47.66667, -121.33333"
MEDINA SOUTH PARK,NE 12th St & 80th Av NE   Medina,"47.62028, -122.23000"
MEEKER LAKE LOWER,On King/Pierce County line dr via Greenwater River,"47.08972, -121.45278"
MEEKER LAKE UPPER,On King/Pierce County line dr via lower lake to Greenwater River,"47.10361, -121.44639"
MELAKWA LAKE (LOWER),"Fed by Upper Melakwa Lake, 3 mi NW of Snoqualmie Pass","47.44944, -121.46667"
MELAKWA LAKE (UPPER),"Head of Pratt River, drains to Lower Melakwa Lake","47.45278, -121.46889"
MELAKWA LAKE TRAILHEAD,"Exit 47, Cross freeway, turn rt, T/H is across from Asahel Curtis Picnic","47.39806, -121.48500"
MELAKWA LAKE TRAILHEAD,"Exit 47, Cross freeway, turn left, T/H is on F/S Rd 9034","47.39611, -121.47278"
MELAKWA PASS,Between Chair Peak and Mount Roosevelt,"47.46222, -121.47000"
MEMORIAL PARK,NE Alder Street Issaquah,"47.53167, -122.03194"
MERCER SLOUGH PARK,118th Av SE (on both sides of I-90)    Belleuve,"47.58694, -122.18583"
MERCERDALE PLAYFIELD,SE 32nd St & 78th Av SE   Mercer Island,"47.58111, -122.23278"
MERIDIAN LAKE,"N of Kent-Kangley Rd, W of 148th Ave SE, drains Big Soos Creek","47.36444, -122.15167"
MERLIN LAKE,"Drains to Nimue Lake, 1000 ft to the SW","47.54611, -121.39306"
METCALF LAKE,"In Ten Creek, drains to Tokul Creek via Fury Lake","47.58972, -121.74139"
METCALF MARSH (SLOUGH),"Head of Ten Creek, drains to Metcalk Lake & Tokul Creek","47.60722, -121.62806"
METZLER O'GRADY PARK,SE Green Valley Rd at approx 188th Av SE  King Co.,"47.28472, -122.08750"
MEYDENBAUER PARK,NE Lake Washington Blvd   (N of Main St)  Bellevue,"47.61139, -122.20917"
MID LAKE,E of I-405 between NE 8th St & NE 12th St,"47.62028, -122.17944"
MIDDLE FORK ROAD (BEGINNING),"Exit 34, I-90 (Beginning about 2 blocks N of Ken's Truck Town)","47.47222, -121.71778"
MIDDLE FORK SLOUGH,1.5 mi SW fm mouth of Pratt River on N side M Fk Snoqualmie,"47.51278, -121.61111"
MIDDLE FORK TRAILHEAD (EAST END),On S side of Middle Fork Snoqualmie River,"47.50000, -121.37167"
MIDDLE FORK TRAILHEAD (WEST END),On S side of Middle Fork Snoqualmie River,"47.50000, -121.45278"
MILL CREEK PARK,Canyon Dr SE & 97th Pl S   Kent,"47.37806, -122.21556"
MILL POND PARK,Kennedy Av SE at approx 44th St SE  Auburn,"47.27167, -122.21556"
MILLER RIVER CAMPGROUND,"On Miller River Road, S of Grotto","47.69056, -121.39083"
MILLER RIVER ROAD,"Take Money Creek Campground Road fm Hwy 2, MP 45","47.71944, -121.39722"
MILWAUKEE PLAYFIELD,W Smith St & Naden Av   Kent,"47.38250, -122.24028"
MINE CREEK CAMPGROUND,On Middle Fork Rd approx 5 mi from Kens Truck Town,"47.47944, -121.66000"
MINI PARK,NE Bellevue-Redmond Rd   at approx 120th Av NE  Bellevue,"47.62028, -122.17722"
MIRROR LAKE,"Drains to Mason Creek, 5 mi SE of Mt Defiance","47.42806, -121.55639"
MITCHELL HILL,N of Preston and SW of Fall City,"47.55194, -121.94222"
MOFFATT SLOUGH,"3 segments, 1 mi E of Snoqualmie, drains to Snoqualmie R.","47.52167, -121.80111"
MOIRA LAKE,"Adjacent to Marlene Lake, Drains N to Lake Dorothy","47.56083, -121.36306"
MONA LAKE,Drains to Sunday Creek on W side of Stampede Pass,"47.28111, -121.35028"
MONEY CREEK CAMPGROUND,"SE of Grotto, just across bridge over S Fk Skykomish River ","47.72806, -121.40583"
MONEYSMITH LAKE,Seepage outlet to Green River,"47.29611, -122.12583"
MONEYSMITH LAKE,Seepage outlet to Green River,"47.29194, -122.12389"
MOOLOCK LAKE,Drains to Hancock Lake via Lake Nadeau outlet,"47.55361, -121.64722"
MOON LAKE,An arm of Snoqualmie River diked off by Beaver Dam & riprap,"47.52583, -121.75639"
MOONEY SWAMP,6500 ft SW of Lake Morton,"47.30194, -122.09611"
MOORLANDS PLAYFIELD,NE 155th St & 81st Av NE  King County,"47.73972, -122.22861"
MORNING SIDE PARK,NE 42nd Pl & 95th Av NE    Yarrow Point,"47.64833, -122.20917"
MORN'S LAKE,"Drains to Horseshoe Lake, adjacent to Hwy 203","47.67083, -121.90806"
MORTON LAKE,Drains via Covington Creek to Green River,"47.32389, -122.08333"
MOSQUITO LAKE,"2 mi. E. of Capt Point, drains to Martin Creek","47.76278, -121.14722"
MOSS LAKE,"Drains to Tolt River, 3200 ft E of Lake Joy","47.69333, -121.84806"
MOUNT DEFIANCE,West of Lake Kulla Kulla,"47.43472, -121.56389"
MOUNT DEFIANCE TRAILHEAD,Trailhead is on Trail 1007,"47.42444, -121.51278"
MOUNT GARDNER,2.6 mi E of Chester Morse Lake,"47.36861, -121.56833"
MOUNT KENT,2.4 mi SE of Tinkham Campground (S of I-90),"47.38972, -121.61750"
MOUNT LEE,NE of the Tolt Resevoir,"47.72944, -121.60250"
MOUNT PHELPS,SE of Tolt Resevoir and SW of McClain Peaks,"47.67889, -121.58111"
MOWITCH LAKE,"Head of E Fk Sunday Creek, 2.5 mi from Sunday Lake","47.59833, -121.54694"
MT FERNOW,"N of Jakes Lake, S of Mt Fernow Potholes","47.75556, -121.22861"
MT FERNOW LAKE,"S side of Mt Fernow, Drains E to Martin Creek","47.75139, -121.23056"
MT FERNOW POTHOLES 1,"Largest of potholes, drains to Johnson Creek","47.76861, -121.22861"
MT FERNOW POTHOLES 2,"Northernmost of potholes, Drains north to Johnson Creek ","47.77028, -121.22861"
MT FERNOW POTHOLES 3,Drains to pothole Nr 2,"47.76722, -121.23500"
MT FERNOW POTHOLES 4,Drains to pothole Nr 3,"47.76583, -121.23611"
MT FERNOW POTHOLES 5,"Southernmost of potholes, Drains to pothole Nr 4","47.76444, -121.23611"
MT INDEX,"Near Snohomish County line, E of Holoman Lake","47.77444, -121.57889"
MT KENT LAKE #1,"West side of Mt Kent, head of Alice Creek","47.38972, -121.62389"
MT KENT LAKE #2,"West side of Mt Kent, head of Alice Creek","47.39111, -121.62389"
MT PRICE,S of Little Hester Lake,"47.50417, -121.40583"
MT ROOSEVELT *SEE REMARKS*,*Forest Service & Green Trail maps show this location,"47.48111, -121.50194"
MT ROOSEVELT *SEE REMARKS*,*USGS map shows this location,"47.46944, -121.47639"
MT ROOSEVELT LAKE,"Drains to Pratt River, 3000 ft NW of Caroline Lake","47.49111, -121.52111"
MT SI,"E of North Bend, trailhead is on Mt Si road 2.3 mi from N Bend Way","47.50722, -121.73917"
MT SI (LITTLE) TRAILHEAD,"Exit 31, I-90 into N Bend, E on N Bend Wy, N on Mt Si Rd, L after bridge","47.48972, -121.76056"
MT SI (ROAD TO TOP OF),"DNR rd.to top of Mt Si, 9/10 mi fm Mt Si T/head, Opposite 480 Av SE","47.48583, -121.69972"
MT SI HIGH SCHOOL,8651 Meadowbrook Wy SE in city of Snoqualmie,"47.52222, -121.77250"
MT SI TRAILHEAD,"Exit 31, I-90 into N Bend, E on N Bend Wy, N on Mt Si Rd for 2.3 mi","47.48750, -121.72194"
MT TERERIFFE,E of Mt Si,"47.50861, -121.69444"
MT THOMSON,E of Edds Lake and NE of Gravel Lake,"47.47222, -121.36083"
MT WASHINGTON,"Approx 1.4 mi N of Chester Morse Lake, Approx 1.4 mi S of I-90","47.42583, -121.69639"
MUD LAKE,"Drains to Index Creek, 2 mi ESE of Mt Index","47.76583, -121.54250"
MUD LAKE,At 124 Ave NE and NE 124th St,"47.71083, -122.17500"
MUD LAKE,"NE of Preston, S of Fall City, drains to Raging River","47.53333, -121.88667"
MUD LAKE,"Drains to Beaver Creek, 1 mi NW of Black Lake","47.66000, -121.74139"
MUD LAKE,E of Petrovitsky Road and Lake Youngs drains to Cedar River,"47.42889, -122.10667"
MUD LAKE,"2800 ft S fm Cinder Lake, seeps to Lake Sawyer","47.31806, -121.99139"
MUD MOUNTAIN DAM,"From Hwy 410, just before MP 30 turn S (Well marked) go 2.5 mi","47.13972, -121.92944"
MUSKRAT LAKE,"2000 ft S from Deep Lake, drain to Green River","47.26583, -121.94222"
MY LAKE,"Drains to Pratt River, 1 mi SW of Kaleetan Peak","47.44889, -121.48583"
MYRTLE LAKE,"Head of Dingford Creek, 1.2 mi NW of Big Snow Mountain","47.54917, -121.38222"
MYRTLE LAKE TRAIL,FS Rd 56 (Mid Fk) to FS 5620 to trailhead,"47.51722, -121.45278"
NADEAU LAKE,Drains NW to Lake Hancock ,"47.54917, -121.65167"
NADEN PARK,Naden Av (S of W Meeker St)   Kent,"47.37944, -122.24139"
NARROWS PARK,Auburn Black Diamond Rd & St Rte 18    King County,"47.30194, -122.17944"
NATCHES PASS,Near intersection of King-Kittitas-Pierce-Yakima county borders,"47.08750, -121.37806"
NAZANNE LAKE,"3700 ft E of Delta Lake, Drains W to WF Foss River","47.59556, -121.29056"
NE 12TH ST GREENBELT,NE 12th St & Bellevue Wy NE   Bellevue,"47.62306, -122.19639"
NE SAMMAMISH NEIGHBORHOOD PARK,Sahalee Wy NE & NE 36th St   King County,"47.64250, -122.05528"
NECKLACE VALLEY,Between Al Lake and Emerald Lake,"47.57944, -121.25417"
NECKLACE VALLEY LAKE NR 1,"Fed by Emerald Lake, drains to headwaters E Fk Foss R.","47.58528, -121.25639"
NECKLACE VALLEY LAKE NR 2,"Fed by Opal Lake, drains to Jade Lake","47.57944, -121.25417"
NECKLACE VALLEY LAKE NR 3,"Drains to EF Foss River, S end of Necklace Valley","47.57528, -121.25000"
NECKLACE VALLEY TRAILHEAD,"Trailhead is on FS 68, S of turn off to Tonga Ridge","47.66444, -121.28611"
NEILSON LAKE,"Marshy at both ends, drains to Green River on map 204C and 204D","47.30361, -122.12583"
NEILSON LAKE,"Marshy at both ends, drains to Green River on map 204C and 204D","47.30194, -122.12389"
NEWPORT HILLS PARK,SE 60th St & 120th Av SE   Bellevue,"47.54917, -122.17722"
NIKE PARK,17200 NE 92nd St    Redmond,"47.68333, -122.10889"
NIMUE LAKE,"Drains to Dingford Creek, SW of Myrtle Lake","47.54333, -121.39944"
NINE HOUR LAKE,"Drains to MF Snoqualmie River, N of Preacher Mountain","47.51861, -121.51472"
NO KETCHUM LAKE,Drains NW to Lake Hancock ,"47.54917, -121.65167"
NOLTE STATE PARK,Veazie Cumberland Rd & 304th Av SE,"47.27444, -121.93778"
NORDRUM LAKE,Drains to Taylor River via Judy Creek,"47.55639, -121.43583"
NORDRUM LAKE TRAILHEAD,Trail starts from trail 1002,"47.57389, -121.44000"
NORDRUM POTHOLE,Drains 400 ft W to Nordrum Lake,"47.55500, -121.42944"
NORTH BEND FIRE STATION,"Exit 31, I-90 ( W 2nd St beteween N Bend Way & Main Av N)","47.49667, -121.78194"
NORTH BEND POLICE STA (K.C.P.),2nd Street between N. Bend Blvd N and Main Ave.,"47.49667, -121.78194"
NORTH BEND RANGER STATION,"Exit 31, I-90 (In North Bend turn rt on N Bend Way about 8/10 mi)","47.48944, -121.77306"
NORTH FORK COUNTY RD ,"Exit 31. In city, rt on N Bend Wy, left on Ballarat to Ernie's Grove","47.53611, -121.75000"
NORTH GREEN RIVER PARK  (King Co.),Green River Rd at approx SE 256th St   King County,"47.36444, -122.21556"
NORTH GREEN RIVER PARK (Auburn),Green River Rd at approx SE 291st St   Auburn,"47.34250, -122.20500"
NORTH HIGHLANDS PARK,NE 16th St & Kirkland Av NE   Renton,"47.50722, -122.17722"
NORTH KIRKLAND COMMUNITY CENTER PARK,12421 103rd Av NE  Kirkland,"47.71139, -122.20500"
NORTH MERIDIAN PARK,120th Av SE & SE 231 Pl   King County,"47.39694, -122.17722"
NORTH ROSE HILL PARK,NE 100th St & 124th Av NE   Kirkland,"47.67583, -122.14944"
NORTH TOWNE PARK,Bellevue Wy NE  at approx NE 28th St   Bellevue,"47.63556, -122.20000"
NORTHWEST COMMUNITY CENTER PARK,NE 24th St  & 100th Av NE   Bellevue,"47.63194, -122.20722"
NORWOOD PARK,SE 23rd St & SE 24th St   Bellevue,"47.58972, -122.17083"
OAK LAKE,"1700 ft S of Lake Sawyer, drains via Covington Creek","47.31806, -122.03417"
O'GRADY PARK,SE Green Valley Rd at approx SE 358th St,"47.27750, -122.08750"
OLALLIE LAKE,"2400 ft NE of Talapus Lk, drains to Talapus Creek","47.42306, -121.50833"
OLALLIE LAKE TRAILHEAD,"Exit 45, turn left across freeway turn left on FS 9030","47.40111, -121.51694"
OLALLIE LAKE TRAILHEAD,"Exit 47,cross freeway turn lft,T/H is on FS Rd 9034","47.39611, -121.47278"
OLALLIE LAKE TRAILHEAD (OLD),"Exit 47, cross freeway turn rt, T/H is across fm Asahel Curtis Picnic Area","47.39806, -121.48500"
OLALLIE MEADOW,1.5 mi SE of Asahel Curtis Picnic area,"47.37806, -121.44222"
OLALLIE STATE PARK,"Exit 38 S of I-90, Would be good for McClellan Butte Trail search","47.43472, -121.65361"
OLSONS GRAVEL PIT,Adjacent to N side US 410 dr to White River,"47.19917, -121.94861"
ONE LAKE,Drains to Boise Creek & White River,"47.19778, -121.92083"
OPAL LAKE,"Drains to EF Foss River, S end of Necklace Valley","47.57528, -121.25000"
OTTER FALLS,Adj to Lipsy Lake in trib to Taylor River,"47.58694, -121.46556"
OTTER LAKE,Drains 4500 ft NW to Delta Lake and WF Foss River,"47.57806, -121.28611"
OTTER LAKE,Drains via Peterson Creek to Cedar River,"47.43611, -122.08750"
OUR LAKE,"Adjacent to Echo Glen Childrens Center, drains to Raging River","47.51722, -121.89528"
OVERCOAT LAKE,"Drains to MF Snoqualmie River, on N side Overcoat Peak","47.51722, -121.30111"
OVERCOAT PEAK,E of Overcoat Lake on King-Kittitas County lines,"47.51444, -121.29056"
PACIFIC CITY PARK,3rd Av SE  (on White River)   Pacific,"47.26278, -122.23500"
PAGE MILL POND,"1 mi SW fm Little Eagle Lake, drains NFk of Green River","47.29556, -121.76472"
PAGES MILL POND,"1 mi SW fm Little Eagle Lake, drains NFk of Green River","47.29556, -121.76472"
PALMER KANASKAT FIRE STATION,1 street S of Cumberland-Kanaskat Rd in Kanaskat,"47.32083, -121.89528"
PALMER KANASKAT STATE PARK,On Kanaskat-Cumberland Road,"47.31222, -121.89722"
PALMER MOUNTAIN,"W of Grotto, N of Crosby Mountain","47.73528, -121.48278"
PANORAMA LAKE,"2200 ft S of Rock Lake, Drains E steeply to WF Foss River","47.63111, -121.33333"
PANTHER LAKE,"E  of 108 Av SE, N of SE 208 St. drains via ditches to Green River","47.42028, -122.18583"
PARADISE LAKE LOWER,"Drains to NF Snoqualmie River, 500 ft below Middle Para. Lk.","47.65556, -121.50417"
PARADISE LAKE UPPER,"Drains to Middle Paradise Lk, 500 ft to the south","47.65556, -121.50000"
PARADISE LAKE UPPER,"Drains to Middle Paradise Lk, 500 ft to the south","47.65556, -121.50000"
PARADISE LAKES MIDDLE,Drains to NF Snoqualmie River via Lower Paradise Lake,"47.65278, -121.50000"
PARADISE LAKES MIDDLE,Drains to NF Snoqualmie River via Lower Paradise Lake,"47.65278, -121.50000"
PARK ORCHARD,110th Av SE & SE 230th St   King County,"47.39694, -122.19222"
PATTERSON LAKE,"2 mi NW fm Maple Valley N of Petrovitsky Rd, drains to Cedar River.","47.42306, -122.07472"
PEDESTRIAN PARK  Issaquah,W Sunset Wy & Front St   Issaquah,"47.53028, -122.03611"
PEDESTRIAN PARK  Renton,Logan Av S & N Airport Wy   Renton,"47.48250, -122.20722"
PETER KIRK PARK,202 3rd St & Kirkland Av    Kirkland,"47.67667, -122.20083"
PETERSON LAKE,"2 mi NW fm Maple Valley N of Petrovitsky Rd, drains to Cedar River.","47.42306, -122.07472"
PETERSON POND,N of NE Union Hill Road and W of 242 Av NE,"47.66444, -122.01917"
PETROVITSKY PARK,Petrovitsky Road at approx SE 180 Pl  King Co.,"47.44194, -122.11750"
PHANTOM LAKE,"N of SE 24 St, E of Lake Hills Greenbelt Park","47.59250, -122.12583"
PHANTOM LAKE,"N of SE 24 St, E of Lake Hills Greenbelt Park","47.59417, -122.12167"
PHILIPPA LAKE,Drains to Brannon Creek,"47.61000, -121.61944"
PHILLIP ARNOLD PARK,Jones Av S & S 7th St   Renton,"47.47222, -122.19444"
PIKES PEAK GREENBELT PARK,122nd Av NE & NE 39th St  Bellevue,"47.64417, -122.17722"
PINE LAKE,"4 mi N of Issaquah, drains to Sammamish Lake","47.58833, -122.04250"
PINE LAKE PARK,SE 26th St & 228th Av SE   King County,"47.58833, -122.03611"
PINE TREE PARK,114th Av SE at approx SE 277th St  King County,"47.35139, -122.18778"
PINNACLE PEAK,"SE of Enumclaw, N of the White River","47.17333, -121.97194"
PIONEER PARK,SE 68th St & Island Crest Wy   Mercer Island,"47.54333, -122.22000"
PIONEER PARK,SE 68th St & SE 70th Pl   Mercer Island,"47.54333, -122.20917"
PIPE LAKE,"E of Hwy 18 & N of Hwy 516, drains to Lucerne Lake","47.36583, -122.05750"
